"dc:title","dcterms:alternative","dc:creator","dc:subject","dc:description","dc:publisher","dc:contributor","dc:type","dc:format","dc:identifier","dc:source","dc:language","dcterms:isPartOf","dcterms:spatial","dcterms:temporal","dc:rights","1000_pixel_jpg","150_pixel_jpg","SLQ_Digitool_viewer"
"Estate map of Rocklea township, Brisbane, Queensland, ca. 1880s","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Rocklea (Qld.)","Estate map of 214 allotments from Rocklea township sold by auction on 13th September by Auctioneers Hooker, Son and Elliott. The plan includes an illustration of the view from Rocklea township.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758537 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758537 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Rocklea, Brisbane, Queensland; -27.544729,153.012634","ca. 1880s","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262821&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262822","http://hdl.handle.net/10462/deriv/18411"
"Estate map of Raby Bay Estate, Raby Bay, Queensland, 1885","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Raby Bay--Maps Raby Bay (Qld.)","Real estate map showing allotments to be sold on the 20th October, 1885 by James R. Dickson & Co., auctioneer. Plan includes inset with local sketch of the area. The estate includes allotments on Shore Street, Bay Street and Wynyard Street, Raby Bay.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758539 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758539 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Raby Bay, Queensland; -27.5168,153.273285","1885","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262825&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262826","http://hdl.handle.net/10462/deriv/18414"
"Estate map of resubdivision close to Beenleigh Railway Station, Beenleigh, Queensland","","Unidentified","plans maps posters land sales land auctions building blocks (land) Real Property--Queensland--Beenleigh--Maps Beenleigh (Qld.)","Estate map showing allotments to be sold by J. R. Dickson & Co., Auctioneers. The land was owned by the late Peter Betz and was surveyed by Hamilton and Raff.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758541 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758541 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Beenleigh, Queensland; -27.713949,153.186966","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262829&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262830","http://hdl.handle.net/10462/deriv/18420"
"Estate map of Dillon's Hill Estate, Red Hill, Brisbane, Queensland,","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Red Hill (Qld.)","Estate map showing allotments to be sold by T. Howling & Co, 120 Albert Street, Brisbane. The land was adjacent to Arthur Terrace and close to the Red Hill bus stand. The allotments were surveyed by Alfred Henry.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758594 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758594 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Red Hill, Brisbane, Queensland; -27.453329,153.003815","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262833&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262834","http://hdl.handle.net/10462/deriv/18423"
"Estate map of the Orange Grove Estate, Coopers Plains, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Coopers Plains (Qld.)","Estate map showing 100 allotments to be sold on the 29th August by G. T. Bell in conjunction with A. Lucas & Co., Auctioneers. The estate was surveyed by G. K. Jopp. The plan includes sketch of local area.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758595 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758595 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Coopers Plains, Brisbane, Queensland; -27.56757,153.038727","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262837&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262838","http://hdl.handle.net/10462/deriv/18426"
"Estate map of Kangaroo Point, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Kangaroo Point (Qld.)","Estate map showing allotments to be sold on 15th December by James R. Dickson & Co., auctioneers. The sale of land included the residence of the Late Honorable Wm. Thornton. The estate covered an area from the Brisbane River to Main Street, Thornton Street and Ferry Street.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758596 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758596 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Kangaroo Point, Brisbane, Queensland; -27.47801,153.035706","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262841&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262842","http://hdl.handle.net/10462/deriv/18417"
"Estate map of allotments fronting James & Kent Street, Fortitude Valley, Brisbane, Queensland, 1886","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Fortitude Valley (Qld.)","Plan of 11 allotments in Fortitude Valley to be sold on the 13th February, 1886 by Arthur Martin & Co., Auctioneers. The estate covered parts of James Street and Kent Street.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758604 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758604 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Fortitude Valley, Brisbane, Queensland; -27.458139,153.035324","1886","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262845&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262846","http://hdl.handle.net/10462/deriv/18429"
"Estate map of Royal Parade Estate, Enoggera, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Enoggera (Qld.)","Real estate map showing subdivision of land covering an area from Kedron Brook through to Royal Parade, Longsight Street, Plymouth Street and Welbeck Street.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758605 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758605 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Enoggera, Brisbane, Queensland; -27.42234,152.990204","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262849&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262850","http://hdl.handle.net/10462/deriv/18432"
"Estate map of Kensington, Toowong, Brisbane, Queensland, 1874","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Toowong (Qld.)","Plan of allotments to be sold on the 28th September, 1874 by John Cameron, auctioneer. The land covers the area adjoining Moggill Road through to Kensington Terrace, Holland Street and Gore Place (later known as Grove Street).","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758606 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758606 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Toowong, Brisbane, Queensland; -27.478519,152.985626","1874","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262853&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262854","http://hdl.handle.net/10462/deriv/18435"
"Estate map of Lilly Estate, Toowoomba, Queensland, 1902","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Toowoomba--Maps Toowoomba (Qld.)","Estate map showing allotments to be sold 14 August 1902 by Scholefield & Godsell, auctioneers. The land was surveyed by George A. E. Allom. The estate covers an area adjacent to the Royal Agricultural Society's Show Grounds.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758607 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758607 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Toowoomba, Queensland; -27.561449,151.953293","1902","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262857&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262858","http://hdl.handle.net/10462/deriv/18438"
"Estate map of Belle Mount Estate, Paddington, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Paddington (Qld.)","Estate map showing allotments to be sold by John W. Todd, Auctioneer. The land was surveyed by Hamilton & Raff. The plan includes a local sketch of the area. The estate covers an area adjacent to Belle View Parade and Bellevista Terrace.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758608 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758608 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Paddington, Queensland; -27.46195,153.006683","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262861&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262862","http://hdl.handle.net/10462/deriv/18441"
"Map of Eldernell Estate Hamilton, Brisbane, 1890","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Hamilton (Qld.)","Estate map showing 118 allotments to be sold on 1st February, 1890 by Arthur Martin & Co., auctioneers. The land was surveyed by Hamilton & Raff. The plan includes a local sketch.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758609 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758609 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Hamilton, Brisbane, Queensland; -27.4375,153.064606","1890","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262865&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262866","http://hdl.handle.net/10462/deriv/18444"
"Estate map of the town of Eumundi, Queensland, 1906","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Eumundi--Maps Eumundi (Qld.)","Estate map showing allotments to be sold on the 29th May, 1906 by public auction at the Lands Office in Brisbane. The land was surveyed by G. C. Reid & A. Lymburner. The allotments covered an area opposite the Eumundi Railway Station and between Gympie Road, Gridley Street and Arundell Street, Eumundi.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758610 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758610 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Eumundi, Queensland; -26.475269,152.950668","1906","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262869&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262870","http://hdl.handle.net/10462/deriv/18447"
"Estate map of Torquay Estate, Redland Bay, Queensland, 1885","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Redland Bay--Maps Redland Bay (Qld.)","Estate map showing allotments to be sold on 9th November, 1885 by Arthur Martin & Co., Auctioneers. The land was surveyed by Hamilton & Raff. The allotments were adjacent to Moreton Bay.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758611 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758611 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Redland Bay, Queensland; -27.60936,153.293716","1885","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262873&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262874","http://hdl.handle.net/10462/deriv/18450"
"Estate map of the Town of Pinkenba, Brisbane, Queensland, 1892","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Pinkenba (Qld.)","Estate map showing allotments to be sold on the grounds near the new meatworks on 25 October 1892. The plan includes a local sketch of the area.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758616 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758616 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Pinkenba, Brisbane, Queensland; -27.390591,153.135361","1892","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262877&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262878","http://hdl.handle.net/10462/deriv/18453"
"Estate map of Oatlands Estate, Graceville, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Graceville (Qld.)","Estate map showing allotments to be sold by C. T. Bell, Auctioneer. The land was surveyed by F. G. Shaw. The plan includes a local sketch of the area. The estate covers the area back from the Brisbane River and adjacent to Oatland Terrace (later known as Laurel Avenue), Kew Road, Mortland Road, Graceville Terrace (later known as Honour Avenue), Station Terrace (later known as Kitchener Street), Churchill Street, Randolph Street and Addison Street.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758618 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758618 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Graceville, Brisbane, Queensland; -27.52249,152.976456","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262881&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262882","http://hdl.handle.net/10462/deriv/18456"
"Estate map of allotments at Southport, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Southport--Maps Southport (Qld.)","Estate map of allotments to be sold on 30th January by Arthur Martin, Auctioneers. The land was surveyed by Benwell & Echlin. The plan includes a local sketch. The allotments covered an area between Robert Street, Central Street and Wilson Street, Southport (now known as Labrador).","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758619 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758619 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Southport, Queensland; -27.96553,153.415558","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262885&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262886","http://hdl.handle.net/10462/deriv/18459"
"Estate map of the Stamford Estate, Indooroopilly Railway Station, Indooroopilly, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Indooroopilly (Qld.)","Estate map showing allotments to be sold by John H. Todd, auctioneer. The land was surveyed by Hamilton & Raff. The estate covers an area adjacent to Clarence Road, Belgrave Road, Grosvenor Road, Westminster Road and Indooroopilly Station Road (later known as Station Road).","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758621 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758621 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Indooroopilly, Brisbane, Queensland; -27.49894,152.975754","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262889&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262890","http://hdl.handle.net/10462/deriv/18462"
"Estate map of Langlands Estate, East Brisbane, Brisbane, Queensland, 1889","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps East Brisbane (Qld.)","Estate map showing allotments to be sold on the 13th July 1889 by Dansie & Chandler, auctioneers. The land was surveyed by Thos O'Connor. The plan includes a local sketch.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758624 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758624 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","East Brisbane, Brisbane, Queensland; -27.4835,153.043686","1889","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262893&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262894","http://hdl.handle.net/10462/deriv/18465"
"Estate map of the Kingston Railway Station Estate, Kingston, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Kingston (Qld.)","Estate map showing thirty two allotments to be sold by John W. Todd, auctioneer. The allotments range in size from twenty- eight perches to five acres. The plan includes a local sketch. The estate covers an area adjacent to Augustus Street, Clare Street, Anthony Street, John Street, William Street and Government Road (later known as Queens Road).","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758636 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758636 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Kingston, Brisbane, Queensland; -27.656691,153.114243","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262897&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262898","http://hdl.handle.net/10462/deriv/18468"
"Estate map of Brookhill Estate, Lutwyche, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Lutwyche (Qld.)","Estate map showing allotments to be sold by John Cameron, auctioneer. The plan includes a local sketch. The estate covers an area known as Bartleys paddock. The land was adjacent to Gunyah Street, Boomerang Street, Yarraman Street and Spear Street.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758638 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758638 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Lutwyche, Brisbane, Queensland; -27.42214,153.033905","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262901&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262902","http://hdl.handle.net/10462/deriv/18471"
"Estate map of Clapham Junction, Banyo, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Banyo (Qld.)","Estate map showing allotments to be sold on 28th June by James R. Dickson & Company, auctioneers. The estate was surveyed by Hamilton & Raff. The plan includes a local sketch. The allotments covered the area adjacent to Royal Parade, Park Street, Chapell Street and Melville Street, Banyo.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758639 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758639 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Banyo, Brisbane, Queensland; -27.37491,153.077835","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262905&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262906","http://hdl.handle.net/10462/deriv/18474"
"Estate map of Mooyumbin Estate, Nerang, Queensland, 1885","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Nerang--Maps Nerang (Qld.)","Estate map showing allotments to be sold by Howard Maynard on the 30th September, 1885.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758646 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758646 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Nerang, Queensland; -27.989441,153.336426","1885","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262909&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262910","http://hdl.handle.net/10462/deriv/18477"
"Estate map of Brereton Hill, South Brisbane, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps South Brisbane (Qld.)","Estate map showing allotments to be sold on the 13th March by John Cameron, auctioneer. The land covered the area between Montague Road, Bounday Street, Norfolk Street and Brereton Street.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758647 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758647 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","South Brisbane, Brisbane, Queensland; -27.474492,153.017391","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262913&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262914","http://hdl.handle.net/10462/deriv/18480"
"Estate map of Isleston, Eagle Junction, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Eagle Junction (Qld.)","Estate map showing allotments to be sold on the 25th February by R. J. Cottell, auctioneer. The estate covered the area adjacent to Sydney Street, Howie Street and Jackson Street. The plan includes a local sketch.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758649 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758649 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Eagle Junction, Brisbane, Queensland; -27.415051,153.051437","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262917&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262918","http://hdl.handle.net/10462/deriv/18483"
"Estate map of Bulimba Bridge Estate, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Bulimba (Qld.)","Estate map showing allotments to be sold on the 24th January by R. D. Graham & Son. The plan includes a local sketch. The land was situated close to a proposed suspension bridge across the Brisbane River.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758658 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758658 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Bulimba, Brisbane, Queensland; -27.451361,153.059296","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262921&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262922","http://hdl.handle.net/10462/deriv/18486"
"Estate map of Teneriffe Estate, Teneriffe, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Teneriffe (Qld.)","Estate map showing thirty allotments to be sold by R. W. Wilson. The land for sale was part of the original Teneriffe Estate. The allotments covered an area adjacent to Kent Street.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758659 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758659 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Teneriffe, Brisbane, Queensland; -27.45883,153.04866","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262925&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262926","http://hdl.handle.net/10462/deriv/18489"
"Estate map of Riding Estate Bulimba, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Bulimba (Qld.)","Estate map showing allotments to be sold by Hooker, Son & Elliott, auctioneers. The land was surveyed by Hamilton & Raff. The plan includes a local sketch. The estate covered an area close to the State School.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 758660 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 758660 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Bulimba, Brisbane, Queensland; -27.451361,153.059296","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262929&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262930","http://hdl.handle.net/10462/deriv/18492"
